feature,xgboost,lightgbm,random_forest,logistic_regression,mutual_info,chi2,aggregate
Your location : access extra location provider commands (S),0.39065152,0.0,0.1430238578961365,0.14534138,0.0,0.20502037255898536,0.1473395226587788
System tools : delete all application cache data (D),0.29148906,0.0,0.08864907363213596,0.27210838,0.04602005446374669,0.16953583819206378,0.14463373450125847
Your accounts : use the authentication credentials of an account (D),0.33894724,0.0,0.13993596129728902,0.1473673,0.0,0.1939198135153704,0.13669505165894177
Hardware controls : test hardware (S),0.43841204,0.0,0.04297277187140686,0.093967415,0.20318217140673392,0.00011029139708259511,0.12977411508994213
System tools : allow Wi-Fi Multicast reception (D),0.33967674,0.0,0.050855854630723604,0.19066639,0.13795445699985584,0.03744017885745922,0.1260989367864904
System tools : write subscribed feeds (D),0.20148858,0.0,0.02458817287120097,0.39965838,0.0,0.12466188726714071,0.12506617105954834
Default : delete other applications' data (S),0.21058063,0.0,0.04854849738057903,0.017936088,0.45523933473357736,0.01020071634839734,0.12375087811631692
Your accounts : manage the accounts list (D),0.29775235,0.0,0.14093335646203106,0.0,0.0,0.24772778583899063,0.11440224881163219
Your messages : read Gmail (D),0.21603741,0.0,0.06662473921729563,0.27598456,0.029423441290251977,0.03481161923211453,0.1038136271233266
Network communication : control Near Field Communication (D),0.25994447,0.0,0.03992316984482426,0.06242628,0.20274668122741518,0.05716063118244814,0.1037002052036033
System tools : set preferred applications (S),0.27311027,0.0,0.06955222744083477,0.041227967,0.19653480914749194,0.026124619623862252,0.10109164887656408
Hardware controls : control flashlight (S),0.3880817,0.0,0.1471291962080862,0.050348174,0.0,0.0009015919383559368,0.09774344359718858
Default : disable or modify status bar (S),0.31044155,0.0,0.030428777708321104,0.050631523,0.18330318765578238,0.008480715897596375,0.09721429299778432
Default : directly call any phone numbers (S),0.30080074,0.0,0.07978942495630122,0.1938516,0.0,0.0037794908158119756,0.09637021025811184
Your accounts : act as an account authenticator (D),0.2515387,0.0,0.08828806596945796,0.16679546,0.0,0.06385494951819608,0.09507952862707492
Your personal information : read calendar events (D),0.3640334,0.0,0.10548318138403842,0.09377872,0.0,0.0062531147222787235,0.09492473651782317
Default : control location update notifications (S),0.27867648,0.0,0.051001568784995,0.06654942,0.0,0.14357329857088655,0.08996679462791457
Default : modify battery statistics (S),0.27809057,0.0,0.08905925589475942,0.15269986,0.0,0.0001363896302229641,0.08666434497865104
Phone calls : modify phone state (S),0.24624653,0.0,0.12144027479124003,0.09303872,0.0,0.058442514663365495,0.08652800732217669
System tools : read subscribed feeds (S),0.17845526,0.0,0.01856612738627793,0.29420966,0.0,0.022282402581095605,0.08558557540719806
Your messages : receive MMS (D),0.25071642,0.0,0.05850832739395203,0.09578947,0.0,0.10523959860160009,0.08504230230032794
System tools : measure application storage space (S),0.2641561,0.0,0.09182013397245914,0.008368654,0.0,0.14550613083503355,0.08497517035304014
System tools : set wallpaper size hints (S),0.35308734,0.0,0.07880645245258733,0.058709007,0.0,0.014578611533788704,0.08419690109464777
Your accounts : Google mail (D),0.22671543,0.0,0.022491673911525956,0.1733471,0.0,0.0626947704971946,0.08087482927359241
Default : delete applications (S),0.2522429,0.0,0.03649070007090065,0.0869373,0.0,0.08627267688777823,0.07699059513335604
Your accounts : act as the AccountManagerService (S),0.19771267,0.0,0.04772775073127124,0.17101222,0.0,0.0018479176787848217,0.06971676098565148
Your accounts : read Google service configuration (S),0.21899484,0.0,0.04163134563197256,0.028577317,0.0,0.10744020888236364,0.06610728534105215
System tools : write Access Point Name settings (D),0.2375968,0.0,0.06293822574325929,0.011783526,0.0,0.08386873700715511,0.0660312139987216
Default : directly install applications (S),0.24722098,0.0,0.07402029499278157,0.025306467,0.0,0.014090586015739367,0.060106387686036565
System tools : change your UI settings (D),0.23258834,0.0,0.05005872271859293,0.03570484,0.0,0.0033896175660764337,0.0536235860218346
Default : enable or disable application components (S),0.26765117,0.0,0.011903075526231469,0.0066647967,0.0,0.0006527087712681626,0.04781195858700633
